723.069	305.133
867.295	312.214
1007.59	318.723
1144.28	325.009
1277.4	330.948
1407.43	336.801
1534.34	342.396
1658.36	347.743
1779.55	352.544
1898.13	357.553
2014.31	361.987
725.989	372.459
870.045	378.441
1010.21	384.043
1146.72	389.134
1279.92	394.241
1409.86	399.783
1536.66	404.455
1660.86	408.59
1781.9	413.629
1900.36	417.761
2016.45	421.739
728.853	439.513
872.563	444.468
1012.87	449.05
1149.27	453.663
1282.99	457.227
1411.42	462.186
1539.29	466.395
1663.17	470.401
1784.18	474.085
1902.65	477.881
2018.65	481.345
731.634	506.454
874.333	511.275
1015.49	514.31
1151.43	518.585
1284.99	521.594
1414.77	524.654
1541.33	527.577
1665.97	531.086
1786.62	534.76
1905.01	537.851
2020.81	540.673
734.301	573.239
877.257	575.86
1018.23	579.157
1152.76	581.705
1287.28	584.388
1417.19	587.114
1544.14	590.485
1668.13	592.817
1789.06	595.244
1907.37	597.77
2023.06	600.1
736.917	639.965
880.179	642.18
1020.13	644.019
1156.21	645.538
1289.63	647.806
1419.61	649.561
1546.68	651.724
1671.25	653.92
1791.59	655.818
1909.84	657.678
2025.47	659.433
739.362	706.765
881.356	709.105
1023.01	709.437
1158.81	709.903
1292.16	710.85
1422.17	712.187
1548	712.304
1673.81	713.678
1794.59	716.257
1912.39	717.585
2027.94	718.736
741.929	773.521
883.967	773.674
1025.49	773.971
1161.47	773.994
1295.35	775.074
1424.66	774.91
1551.26	776.106
1675.85	776.208
1796.78	776.864
1914.94	777.453
2030.47	778.039
744.382	840.249
887.115	839.066
1027.23	838.974
1163.23	838.222
1297.41	837.695
1427.44	837.46
1554.05	837.721
1679.18	838.026
1799.45	837.487
1917.53	837.428
2033.07	837.307
746.734	907.137
889.574	906.02
1030	904.513
1166.23	902.711
1299.74	901.316
1430.01	900.514
1557.18	899.732
1681.16	898.473
1802.1	898.153
1920.23	897.461
2035.63	896.645
749.463	973.824
892.281	971.591
1032.31	969.164
1168.58	967.52
1302.15	965.891
1432.92	963.618
1559.81	962.057
1684.06	961.04
1804.83	958.83
1922.87	957.422
2038.23	956.016
752.083	1040.75
895.079	1037.62
1035	1033.5
1171.23	1031.53
1304.96	1029.17
1436.08	1026.55
1561.84	1023.93
1686.42	1021.7
1808.22	1019.56
1925.61	1017.36
2040.93	1015.27
754.64	1107.8
897.675	1103.83
1037.49	1100.13
1174.17	1096.42
1307.17	1092.19
1438.11	1089.65
1564.76	1085.97
1689.35	1082.06
1810.95	1080
1928.3	1077.47
2043.61	1074.65
757.176	1174.92
899.824	1170.31
1040.77	1166.17
1176.3	1161.52
1310.65	1158.05
1440.75	1152.79
1567.76	1148.85
1692.42	1145.29
1813.04	1141.12
1931.06	1137.57
2046.41	1134.08
